ASN10755,Dartmouth College,
ASN10756,"VVM, Inc.",
ASN10759,Infraswitch,
ASN10764,National Center for Supercomputing Applications,
ASN10765,CloudNet,
ASN10770,AT&T Internet Services,
ASN10771,AT&T Internet Services,
ASN10772,AT&T Internet Services,
ASN10773,AT&T Internet Services,
ASN10774,AT&T Internet Services,
ASN10778,Internet,
ASN10779,Flagship Customs Services,
ASN10780,"Pure Storage, INC.",
ASN10782,Hewlett-Packard Company,
ASN10784,"MCI Communications Services, Inc. d/b/a Verizon Business",
ASN10786,Chartway Federal Credit Union,
ASN10788,CDW LLC,
ASN10790,Quatro Systems Inc,
ASN10794,Bank of America,
ASN10796,Time Warner Cable Internet LLC,
ASN10798,SBICSA,
ASN10801,REGIONS FINANCIAL CORPORATION,
ASN10803,EAST-COAST-ACCESS,
ASN10806,AGENCE FRANCE PRESSE,
ASN10808,The Globe and Mail,
ASN10809,North Country Internet Access,
ASN10813,Deltathree,
ASN10818,Fullnet Communications,
ASN10819,IFWORLD Inc.,
ASN10821,Pioneer Internet,
ASN10823,"NetCarrier, Inc.",
ASN10834,Telefonica de Argentina,
ASN10835,"Visionary Communications, Inc.",
ASN10837,Wells Fargo & Company,
ASN10838,Oceanic Internet,
ASN10843,Advanced Internet Technologies,
ASN10844,Vastnet Corp,
ASN10846,Deere & Company,
ASN10847,"Podernet, S.A. de C.V.",
ASN10848,"Dell Marketing USA, L.P.",
ASN10849,Dallas County Community College District,
ASN10855,AUTO BY TEL,
ASN10857,"JCPenney Co., Inc.",
ASN10858,Hypertherm Inc.,
ASN10859,Computer Sciences Corp - NTIS,
ASN10865,Services Internet Abacom,
ASN10867,Foothill-DeAnza Community College District,
ASN10868,DownCity LLC,
ASN10871,National Oceanic and Atmospheric Administration,
ASN10876,MAOZ.COM,
ASN10879,Unitedhealthcare,
ASN10880,Yahoo,
ASN10881,Fundacao da UFPR para o DCTC,
ASN10882,Clarity Connect Inc,
ASN10883,Comspan Communications Inc.,
ASN10884,Fry Inc,
ASN10886,University of Maryland,
ASN10890,Philadelphia Newspapers Incorporated,
ASN10891,Universal Tax Systems Inc,
ASN10893,The New York Times Company,
ASN10896,Verifone Incorporated,
ASN10897,Camara dos Deputados,
ASN10899,RADIOSHACK CORP,
ASN109,"Cisco Systems, Inc.",
ASN10905,"CITIC SECURITIES INTERNATIONAL USA, LLC",
ASN10906,N�cleo de Inf. e Coord. do Ponto BR - NIC.BR,
ASN10908,CloudfloorDNS,
ASN10909,"WHITE ELM CAPITAL, LLC",
ASN10910,Internap Network Services Corporation,
ASN10912,Internap Network Services Corporation,
ASN10913,Internap Network Services Corporation,
ASN10915,CQL Incorporated,
ASN10916,First Volunteer Bank,
ASN10919,Troy Corporation,
ASN10921,Commonwealth of KentuckyDepartment of Information Systems,
ASN10922,Live Journal Inc.,
ASN10924,GANDER MOUNTAIN COMPANY,
ASN10925,Snowbound Software Corporation,
ASN10926,California Emergency Management Agency - CALEMA,
ASN10928,CTI / Netrax,
ASN10929,Netelligent Hosting Services Inc.,
ASN10930,"Nova Internet Services, Inc.",
ASN10931,"affiliated computer services, inc. - NWDC",
ASN10932,UC2B,
ASN10933,ATX Telecommunications Services,
ASN10934,JPMorgan Chase & Co.,
ASN10935,RLC INTERNET,
ASN10936,Marnell Corrao Assoc.,
ASN10937,Centennial de Puerto Rico,
ASN10938,ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI,
ASN10939,"Paxton Media Group, LLC.",
ASN10940,"Fonality, Inc.",
ASN10941,"Organic, Inc",
ASN10943,OLD REPUBLIC NATIONAL TITLE INSURANCE CO.,
ASN10944,Association of Bay Area Governments,
ASN10945,DeMatteo Monness LLC,
ASN10946,"Sawaya & Company, LLC",
ASN10947,Mountain West Technologies Corporation,
ASN10948,Voya Investment Management LLC,
ASN10951,MGA ENTERTAINMENT INC.,
ASN10952,East Carolina University,
ASN10953,Exelon Corporation,
ASN10954,FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,
ASN10955,WILLIAM PATERSON UNIVERSITY,
ASN10958,"Royell Communications, Inc.",
ASN10959,Bank of America,
ASN10961,Boston GigaPoP,
ASN10962,Cerner Corporation,
ASN10964,Red Cooperativa de Comunicaciones,
ASN10965,MRNet,
ASN10966,"Alaska Airlines, Inc.",
ASN10967,The Home Depot,
ASN10968,Cargill Incorporated,
ASN10969,"Transcendent, LLC",
ASN10970,LightEdge Solutions,
ASN10971,"Cass Cable TV, Inc.",
ASN10972,"Memorial University, NF CAnet 2 gigaPOP",
ASN10973,"Scatter Creek InfoNet, Inc.",
ASN10974,"CUsource, LLC",
ASN10975,"American International Group Data Center, Inc.",
ASN10978,Tris3ct LLC,
ASN10979,INSURANCE COMPANY OF THE WEST,
ASN10980,"Stafford Communications, Inc.",
ASN10981,The Oklahoma Publishing Company,
ASN10982,"TiVo, Inc.",
ASN10984,HuntTel,
ASN10985,"Curtis Instruments, Inc.",
ASN10986,Intermedia Comunicaciones S.A.,
ASN10987,"Plum Creek Marketing, Inc.",
ASN10988,College of Western Idaho,
ASN10990,"Tulix Systems, Inc.",
ASN10991,Capgemini U.S. LLC,
ASN10993,Aerioconnect,
ASN10995,PNC Bank,
ASN10996,Concorde inc.,
ASN10997,Interactive Data,
ASN10998,Bank of America,
ASN11003,The Procter and Gamble Company,
ASN11004,KnowledgeSoft,
ASN11005,"Chicago Stock Exchange, Inc.",
ASN11008,Netverk S.A.,
ASN11009,Carlow University,
ASN1101,IP-EEND BV,
ASN11011,DuPont Fabros Technology LP,
ASN11012,The Digital Design Company,
ASN11013,WideOpenWest Finance LLC,
ASN11014,CPS,
ASN11015,Texas Children's Hospital,
ASN11016,Experian,
ASN11017,CSN Support Services,
ASN11018,NTT Multimedia Communications Laboratories,
ASN11019,"HAProxy Technologies, Inc.",
ASN1102,SMEERBOEL BV,
ASN11020,"Quantum Networking Solutions, Inc.",
ASN11021,"AutoTrader.com, Inc.",
ASN11022,"Alabanza, Inc.",
ASN11023,System Source,
ASN11025,Comcast - Houston,
ASN11029,"Border Technology, LLC",
ASN1103,"SURFnet, The Netherlands",
ASN11030,"Qualcomm, Inc.",
ASN11031,Orbis Investments (Canada) Limited,
ASN11032,Universite du Quebec,
ASN11033,LYNXNET.CA,
ASN11035,"The Raymond F. Kravis Center for the Performing Arts, Inc.",
