"Source";"Destination";"Relationship"
174;6309;-1
174;6315;-1
174;6325;-1
174;6327;-1
174;6343;-1
174;6364;-1
174;6366;-1
174;6379;-1
174;6404;-1
174;6405;-1
174;6407;-1
174;6434;-1
174;6453;0
174;6461;0
174;6488;-1
174;6493;-1
174;6494;-1
174;6503;-1
174;6507;-1
174;6536;-1
174;6561;-1
174;6620;-1
174;6621;-1
174;6643;-1
174;6648;-1
174;6653;-1
174;6661;-1
174;6666;-1
174;6677;-1
174;6697;-1
174;6700;-1
174;6713;-1
174;6718;-1
174;6730;-1
174;6735;-1
174;6738;-1
174;6753;-1
174;6759;-1
174;6762;0
174;6768;-1
174;6772;-1
174;6774;-1
174;6812;-1
174;6834;-1
174;6849;-1
174;6855;-1
174;6866;-1
174;6894;-1
174;6907;-1
174;6911;-1
174;6913;-1
174;6924;-1
174;6971;-1
174;7012;-1
174;7013;-1
174;7018;0
174;7020;-1
174;7057;-1
174;7060;-1
174;7065;-1
174;7078;-1
174;7106;-1
174;7131;-1
174;7133;-1
174;7138;-1
174;7143;-1
174;7151;-1
174;7162;-1
174;7170;-1
174;7203;-1
174;7219;-1
174;7221;-1
174;7250;-1
174;7257;-1
174;7268;-1
174;7270;-1
174;7296;-1
174;7297;-1
174;7317;-1
174;7328;-1
174;7332;-1
174;7333;-1
174;7336;-1
174;7341;-1
174;7352;-1
174;7362;-1
174;7363;-1
174;7385;-1
174;7393;-1
174;7415;-1
174;7423;-1
174;7456;-1
174;7459;-1
174;7545;-1
174;7617;-1
174;7642;-1
174;7713;-1
174;7738;-1
174;7754;-1
174;7767;-1
174;7806;-1
174;7828;-1
174;7843;-1
174;7849;-1
174;7850;-1
174;7862;-1
174;7868;-1
174;7922;0
174;7963;-1
174;7985;-1
174;7992;-1
174;8001;-1
174;8002;-1
174;8015;-1
174;8025;-1
174;8029;-1
174;8047;-1
174;8075;-1
174;8079;-1
174;8097;-1
174;8100;-1
174;8121;-1
174;8122;-1
174;8148;-1
174;8149;-1
174;8175;-1
174;8180;-1
174;8201;-1
174;8224;-1
174;8251;-1
174;8265;-1
174;8266;-1
174;8271;-1
174;8280;-1
174;8282;-1
174;8304;-1
174;8309;-1
174;8311;-1
174;8315;-1
174;8318;-1
174;8362;-1
174;8368;-1
174;8399;-1
174;8401;-1
174;8403;-1
174;8422;-1
174;8446;-1
174;8452;-1
174;8473;0
174;8476;-1
174;8477;-1
174;8487;-1
174;8495;-1
174;8518;-1
174;8529;-1
174;8530;-1
174;8544;-1
174;8551;-1
174;8554;-1
174;8558;-1
174;8561;-1
174;8565;-1
174;8591;-1
174;8613;-1
174;8632;-1
174;8641;-1
174;8646;-1
174;8652;-1
174;8657;-1
174;8681;-1
174;8683;-1
174;8687;-1
174;8689;-1
174;8728;-1
174;8741;-1
174;8758;-1
174;8781;-1
174;8784;-1
174;8787;-1
174;8788;-1
174;8805;-1
174;8821;-1
174;8839;-1
174;8856;-1
174;8867;-1
174;8881;-1
174;8893;-1
174;8895;-1
174;8896;-1
174;8902;-1
174;8911;-1
174;8921;-1
174;8922;-1
174;8954;-1
174;8966;0
174;8972;-1
174;8978;-1
174;8990;-1
174;8999;-1
174;9000;-1
174;9009;-1
174;9031;-1
174;9052;-1
174;9063;-1
174;9070;-1
174;9085;-1
174;9092;-1
174;9104;-1
174;9115;-1
174;9136;-1
174;9142;-1
174;9145;-1
174;9150;-1
174;9161;-1
174;9165;-1
174;9168;-1
174;9197;-1
174;9241;-1
174;9299;-1
174;9304;-1
174;9329;-1
174;9498;-1
174;9500;-1
174;9583;-1
174;9924;-1
174;10026;-1
174;10242;-1
174;10264;-1
174;10297;-1
174;10326;-1
174;10355;-1
174;10396;-1
174;10400;-1
174;10421;-1
174;10439;-1
174;10448;-1
174;10464;-1
174;10466;-1
174;10475;-1
174;10547;-1
174;10561;-1
174;10564;-1
174;10566;-1
174;10578;-1
174;10607;-1
174;10655;-1
174;10666;-1
174;10668;-1
174;10692;-1
174;10708;-1
174;10732;-1
174;10733;-1
174;10790;-1
174;10813;-1
174;10823;-1
174;10835;-1
174;10849;-1
174;10886;-1
174;10893;-1
174;10910;-1
174;10912;-1
174;10913;-1
174;10929;-1
174;10932;-1
174;10944;-1
174;10970;-1
174;10996;-1
174;11005;-1
174;11010;-1
174;11039;-1
174;11043;-1
174;11045;-1
174;11054;-1
174;11057;-1
174;11059;-1
174;11061;-1
174;11068;-1
174;11071;-1
174;11077;-1
174;11092;-1
174;11096;-1
174;11116;-1
174;11117;-1
174;11130;-1
174;11142;-1
174;11152;-1
174;11160;-1
174;11168;-1
174;11172;-1
174;11174;-1
174;11183;-1
174;11190;-1
174;11191;-1
174;11218;-1
174;11221;-1
174;11232;-1
174;11233;-1
174;11240;-1
174;11251;-1
174;11259;-1
174;11260;-1
174;11262;-1
174;11264;-1
174;11272;-1
174;11279;-1
174;11282;-1
174;11290;-1
174;11331;-1
174;11333;-1
174;11342;-1
174;11352;-1
174;11358;-1
174;11361;-1
174;11365;-1
174;11370;-1
174;11377;-1
174;11382;-1
174;11383;-1
174;11385;-1
174;11389;-1
174;11395;-1
174;11396;-1
174;11403;-1
174;11404;-1
174;11428;-1
174;11430;-1
174;11452;-1
174;11482;-1
174;11487;-1
174;11488;-1
174;11504;-1
174;11522;-1
174;11546;-1
174;11550;-1
174;11586;-1
174;11590;-1
174;11594;-1
174;11597;-1
174;11636;-1
174;11647;-1
174;11650;-1
174;11667;-1
174;11686;-1
174;11691;-1
174;11699;-1
174;11700;-1
174;11713;-1
174;11714;-1
174;11715;-1
174;11722;-1
174;11729;-1
174;11731;-1
174;11734;-1
174;11742;-1
174;11745;-1
174;11758;-1
174;11776;-1
174;11782;-1
174;11794;-1
174;11798;-1
174;11804;-1
174;11807;-1
174;11814;-1
174;11816;-1
174;11825;-1
174;11830;-1
174;11852;-1
174;11854;-1
174;11855;-1
174;11860;-1
174;11866;-1
174;11868;-1
174;11872;-1
174;11876;-1
174;11877;-1
174;11879;-1
174;11884;-1
174;11888;-1
174;11900;-1
174;11903;-1
174;11914;-1
174;11922;-1
174;11926;-1
174;11941;-1
174;11948;-1
174;11951;-1
174;11957;-1
174;11963;-1
174;11967;-1
174;11976;-1
174;11981;-1
174;11990;-1
174;12012;-1
174;12019;-1
174;12025;-1
174;12035;-1
174;12038;-1
174;12041;-1
174;12042;-1
174;12043;-1
174;12044;-1
174;12062;-1
174;12065;-1
174;12066;-1
174;12072;-1
174;12087;-1
174;12089;-1
174;12093;-1
174;12097;-1
174;12109;-1
174;12117;-1
174;12119;-1
174;12129;-1
174;12130;-1
174;12133;-1
174;12142;-1
174;12144;-1
174;12151;-1
174;12163;-1
174;12173;-1
174;12177;-1
